frame_info.encap_type,frame_info.time,frame_info.time_epoch,frame_info.number,frame_info.len,frame_info.cap_len,eth.type,ip.version,ip.hdr_len,ip.tos,ip.id,ip.flags,ip.flags.rb,ip.flags.df,ip.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.checksum,ip.src,ip.dst,ip.len,ip.dsfield,tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.len,tcp.hdr_len,tcp.flags,tcp.flags.fin,tcp.flags.syn,tcp.flags.reset,tcp.flags.push,tcp.flags.ack,tcp.flags.urg,tcp.flags.cwr,tcp.window_size,tcp.checksum,tcp.urgent_pointer,tcp.options.mss_val
1,"Feb 23, 2021 20:22:42.046413000 CST",1614133362.046413000,42,1514,1514,0x00000800,4,20,,0x0000ce6d,0x00000040,0,1,0,0,64,6,0x0000526e,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,1,560,1448,32,0x00000010,0,0,0,0,1,0,0,64640,0x0000d60e,0,
1,"Feb 23, 2021 20:22:42.046417000 CST",1614133362.046417000,43,1514,1514,0x00000800,4,20,,0x0000ce6e,0x00000040,0,1,0,0,64,6,0x0000526d,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,1449,560,1448,32,0x00000010,0,0,0,0,1,0,0,64640,0x0000ea7e,0,
1,"Feb 23, 2021 20:22:42.046418000 CST",1614133362.046418000,44,647,647,0x00000800,4,20,,0x0000ce6f,0x00000040,0,1,0,0,64,6,0x000055cf,10.0.0.43,10.0.0.22,633,0x00000000,80,62733,2897,560,581,32,0x00000018,0,0,0,1,1,0,0,64640,0x00007b1a,0,
1,"Feb 23, 2021 20:22:42.046470000 CST",1614133362.046470000,45,66,66,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002684,10.0.0.22,10.0.0.43,52,0x00000000,62733,80,560,3478,0,32,0x00000010,0,0,0,0,1,0,0,128256,0x000052bc,0,
1,"Feb 23, 2021 20:22:42.072107000 CST",1614133362.072107000,46,97,97,0x00000800,4,20,,0x00001d89,0x00000040,0,1,0,0,55,6,0x0000401b,151.101.68.134,10.0.0.22,83,0x00000000,443,62687,1,2,31,32,0x00000018,0,0,0,1,1,0,0,131,0x00000df3,0,
1,"Feb 23, 2021 20:22:42.072110000 CST",1614133362.072110000,47,66,66,0x00000800,4,20,,0x00001d8a,0x00000040,0,1,0,0,55,6,0x00004039,151.101.68.134,10.0.0.22,52,0x00000000,443,62687,32,2,0,32,0x00000011,1,0,0,0,1,0,0,131,0x00000e50,0,
1,"Feb 23, 2021 20:22:42.072202000 CST",1614133362.072202000,48,54,54,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x000054cf,10.0.0.22,151.101.68.134,40,0x00000000,62687,443,2,0,0,20,0x00000004,0,0,1,0,0,0,0,0,0x0000bb29,0,
1,"Feb 23, 2021 20:22:43.982201000 CST",1614133363.982201000,70,625,625,0x00000800,4,20,,0x00000000,0x00000040,0,1,0,0,64,6,0x00002455,10.0.0.22,10.0.0.43,611,0x00000000,62733,80,560,3478,559,32,0x00000018,0,0,0,1,1,0,0,131072,0x00004e8f,0,
1,"Feb 23, 2021 20:22:43.990115000 CST",1614133363.990115000,71,66,66,0x00000800,4,20,,0x0000ce70,0x00000040,0,1,0,0,64,6,0x00005813,10.0.0.43,10.0.0.22,52,0x00000000,80,62733,3478,1119,0,32,0x00000010,0,0,0,0,1,0,0,64128,0x00004749,0,
1,"Feb 23, 2021 20:22:43.990423000 CST",1614133363.990423000,72,1514,1514,0x00000800,4,20,,0x0000ce71,0x00000040,0,1,0,0,64,6,0x0000526a,10.0.0.43,10.0.0.22,1500,0x00000000,80,62733,3478,1119,1448,32,0x00000010,0,0,0,0,1,0,0,64128,0x0000be18,0,
